rank,chunk_id,file_name,sim_score,merge_score,tier,section_header
1,0ef272e7-9ae6-4b0b-8702-dc4773d1fc5f,Guided Living Senior Home Care LLC - 2020 Tax Returns and Signature Forms.pdf,0.6044641,0.6044641,1,Compensation of Officers
2,62083050-713a-4ed1-9549-3a54ac3289d0,2021 US Tax Return - Montaigne Capital.pdf,0.6059061,0.6059061,1,Partner#
3,f6663486-64b7-47db-80ca-9aea3a8f58a6,2022 US Tax Return - Montaigne Capital.pdf,0.6049671,0.6049671,1,Net income (loss)
4,a39a9e83-3dfe-4690-ab50-906c2ec3fb6e,2021 US Tax Return - Montaigne Capital.pdf,0.6059061,0.6059061,1,Partner#
5,4be7a56c-ab6c-466b-b82a-27840879d959,2024 Elder Care - CIM_vF.pdf,0.6229073,0.6229073,1,Pro Forma Income Statement – Corporate
6,14f056c9-c07e-4ea5-8b2c-228dd001bb1e,2024 Elder Care - CIM_vF.pdf,0.611525,0.611525,1,Pro Forma Income Statement – New Jersey
7,2449803f-a85d-4435-955d-769f239cc38c,2024 Elder Care - CIM_vF.pdf,0.6079935,0.6079935,1,Pro Forma Income Statement – Massachusetts
8,2ddd91cc-9357-4229-910e-47eb943a2225,2024 Elder Care - CIM_vF.pdf,0.60547394,0.60547394,1,Pro Forma Income Statement – Long Island
